,A_G,A_L,Revenue_G,Revenue_L
234,0.0,0.1,96.48908605732048,-217.83824447637096
235,0.0,0.1,93.14311405437769,-241.39874986479754
236,0.0,0.1,96.34934876191939,-295.5953397675723
237,0.0,0.1,97.6226609237006,-277.702790154428
238,0.0,0.1,95.73918221336653,-248.37170530357398
239,0.0,0.1,96.97513712777442,-239.6480939199234
240,0.0,0.1,98.84540099191278,-254.08970765044063
241,0.0,0.1,95.58194192082617,-249.42439026273388
242,0.0,0.1,98.34601001903107,-261.21339343335444
243,0.0,0.1,94.6335554240841,-240.62729331663198
244,0.0,0.1,96.77753803936345,-241.25707531922504
245,0.0,0.1,94.24290319173853,-254.3127250964265
246,0.0,0.1,97.75930989451672,-279.5105016486601
247,0.0,0.1,98.32426055450902,-267.3915636811984
248,0.0,0.1,99.25898038755125,-245.8271887613967
249,0.0,0.1,96.8615603942792,-233.45228263472234
250,0.0,0.1,98.80651850440563,-310.36370926177256
251,0.0,0.1,98.79792993567744,-252.24507870450992
252,0.0,0.1,94.31653959607156,-259.34934431724787
253,0.0,0.1,96.77430794644451,-239.74791036937754
254,0.0,0.1,97.96257356464412,-281.69733034379885
255,0.0,0.1,97.75370445073273,-269.63348699551165
256,0.0,0.1,97.29197580678036,-268.6207375974885
257,0.0,0.1,97.00499934318489,-226.05274077093407
258,0.0,0.1,97.30767070161234,-240.25414715551346
259,0.0,0.1,96.81088862223535,-259.6180960632889
260,0.0,0.1,100.55178233431134,-227.30458233458427
261,0.0,0.1,94.64853102978776,-259.98882109598946
262,0.0,0.1,97.10977694597099,-285.9308374884899
263,0.0,0.1,96.52829620985557,-297.4144038989221
264,0.0,0.1,97.88443796238651,-250.22044967668268
265,0.0,0.1,95.65813828718086,-231.0215019290649
266,0.0,0.1,98.56437868481622,-231.80605515324373
267,0.0,0.1,95.87128154528904,-274.1910216900477
268,0.0,0.1,94.49069994895184,-274.706385928156
269,0.0,0.1,95.03374442231004,-279.1781697761378
270,0.0,0.1,96.01685917929788,-287.067450060172
271,0.0,0.1,97.94622412379768,-284.45886453713155
272,0.0,0.1,99.83403170022461,-189.9144725641306
273,0.0,0.1,96.40004306752424,-227.22334494519328
274,0.0,0.1,97.09152884666416,-282.4862565360686
275,0.0,0.1,95.34923664127187,-285.85598297135635
276,0.0,0.1,94.48286524846453,-234.71265443102223
277,0.0,0.1,95.96585475520301,-251.87324095713416
278,0.0,0.1,97.25524956770502,-241.45131959782955
279,0.0,0.1,95.36001690220753,-199.3860947714796
280,0.0,0.1,96.17778794805791,-253.72712619358077
281,0.0,0.1,97.50114904851182,-264.42401569265604
282,0.0,0.1,97.21947768253962,-266.8409306087381
283,0.0,0.1,92.82977868282876,-266.6692918643202
284,0.0,0.1,95.49262827442446,-244.19558564933538
285,0.0,0.1,95.89527627853188,-249.92337671865997
286,0.0,0.1,94.83331204680653,-222.1532852357229
287,0.0,0.1,99.18120470434462,-274.83223872749807
288,0.0,0.1,98.89658239284635,-291.896276033328
289,0.0,0.1,100.97048356402507,-245.08111893007086
290,0.0,0.1,96.41267743064009,-251.8045382302269
291,0.0,0.1,98.35650698615007,-255.6073321204763
292,0.0,0.1,95.93728748757687,-303.611528092612
293,0.0,0.1,97.85114755367583,-224.51168627984853
294,0.0,0.1,97.5975299475263,-271.48295485111237
295,0.0,0.1,97.1526432932927,-243.89782458194435
296,0.0,0.1,95.00334834583104,-223.21521045130947
297,0.0,0.1,96.53720046490255,-232.58891153717948
298,0.0,0.1,96.03912076804356,-232.11279488946025
299,0.0,0.1,96.86939612797353,-246.89583650838918
300,0.0,0.1,95.46791303614819,-249.55241444461484
301,0.0,0.1,96.38713104914153,-221.37534098452264
302,0.0,0.1,95.31612148339457,-245.39241408198865
303,0.0,0.1,94.4517953323269,-299.652211649541
304,0.0,0.1,97.20295677535813,-245.9202703329111
305,0.0,0.1,95.99663963660034,-277.7056531654793
306,0.0,0.1,96.94077850851421,-315.1610195575512
307,0.0,0.1,98.174661655439,-255.6450715706054
308,0.0,0.1,95.88794727562708,-284.57058228329254
309,0.0,0.1,97.38967720035565,-265.96734104213357
310,0.0,0.1,98.88914384177644,-285.5379456643059
311,0.0,0.1,98.29778479760019,-237.0465197196481
312,0.0,0.1,96.70952603101796,-241.3273888113875
313,0.0,0.1,95.12101790352136,-242.41794120124194
314,0.0,0.1,97.39035553704772,-254.43991275871866
315,0.0,0.1,97.10369069461818,-260.9400878821731
316,0.0,0.1,96.79573831742356,-249.44506008268218
317,0.0,0.1,97.75205978716261,-261.8676125786243
318,0.0,0.1,98.29078248247689,-242.85789943611434
319,0.0,0.1,93.96534251377722,-263.59555007766363
320,0.0,0.1,97.33928538310244,-224.4246342379273
321,0.0,0.1,95.85509261982409,-286.80103689731715
322,0.0,0.1,94.38118285136362,-288.6092136240617
323,0.0,0.1,97.22673656761843,-210.9891939811841
324,0.0,0.1,97.37546938092535,-259.658218824266
325,0.0,0.1,98.55635291069407,-269.83625197672103
326,0.0,0.1,97.32166946772742,-287.8619143219103
327,0.0,0.1,99.243124365763,-211.85304533213034
328,0.0,0.1,93.10667611766797,-267.4425278271113
329,0.0,0.1,96.93619912365075,-288.16474502295347
330,0.0,0.1,97.52059932984234,-239.93750632505868
331,0.0,0.1,94.00957640626993,-228.85558387085337
